,工作岗位,专业知识与技能,学习能力,通识性知识与技能,沟通与表达能力,创新能力,执行能力,自我管理能力,职业适应能力,动手操作能力,承压抗挫能力,团队协作能力,组织与管理能力
12,项目管理,精通项目管理理论和方法，具备项目管理相关知识和技能,不断学习项目管理最新发展，不断提升项目管理技能,具备跨学科知识，能够综合运用各方面知识解决问题,能清晰有效地和团队沟通，具备良好的表达能力,具备创新意识，能够在项目管理中提出新的思路和方法,能够有效执行项目计划，推动项目进展，确保项目顺利完成,能够有效管理自己的时间和工作，保持高效率,能够适应项目管理领域的变化和挑战，灵活应对各种情况,具备操作项目管理工具和软件的能力，能够实际操作项目管理工作,具备承受项目压力和挫折的能力，能够在困难情况下保持积极态度,能够与团队成员有效合作，共同推动项目进展,具备组织规划和管理团队的能力，能够有效指导团队达成项目目标.
13,管培生,熟悉招聘渠道和方法,具备有效面试技巧,了解人力资源管理相关知识,良好的书面和口头表达能力,具备创新思维能力,具备组织和执行能力,能有效管理时间和任务,具备适应不同工作环境的能力,具备基本办公软件操作技能,能应对工作压力和挫折,良好的团队合作精神,具备基本组织和管理能力
14,咨询顾问,"咨询研究, 客户服务, 沟通能力, 研究工作协助,","快速学习新知识和技能,","具备广泛的知识背景,","准确表达观点, 有效沟通能力,","提出创新想法和解决方案,","计划有效实施, 独立完成工作,","良好的时间和任务管理能力,","快速适应新工作环境,","熟练操作相关工具和设备,","能在压力下保持良好状态,","能有效地与团队合作,",有效组织和管理工作任务。
15,文科教师,教育学专业知识，教学设计和评估技能，课堂管理技能，学科专业知识,能够及时学习和掌握新的教学方法和理论知识,学科以外的综合素质知识，如艺术、体育、心理学等,具备良好的口头和书面表达能力，能够与学生和家长有效沟通,具备在教学中创新的思维和方法，能够激发学生的创造力,能够积极落实学校的教学计划和管理规定,能够有效组织和管理个人教学和课余活动,能够适应学校的教学环境和文化氛围,能够灵活运用教学辅助工具和设备,能够承受教学压力，对挫折和困难有适当的调整和应对能力,能够积极参与学校教研和教学团队的合作和交流,能够有效组织和管理学生的学习活动和课外实践
16,法务,"法律知识, 业务准入评估技能, 法律立项评估技能, 合同管理技能, 诉讼处理技能",能够学习新的法律法规和管理知识,"综合知识运用能力, 了解相关行业政策法规","良好的口头和书面沟通能力, 能够准确表达法律观点和建议",寻找解决问题的创新方法和策略,能够按照公司制定的法律政策和流程执行工作,"能够独立工作并合理安排工作时间, 能够管理和处理多个项目和任务",能够适应法律行业的变化和需求,熟练操作法律相关软件和工具,能够在工作压力下保持冷静和高效,能够与团队成员合作并有效推动项目进展,能够组织和管理法律事务和项目的执行和进展
17,人力资源,"抗压能力, 人力资源管理, 沟通技巧, 组织能力",学习能力强,无要求,"沟通能力强, 表达能力强",创新能力强,执行能力强,自我管理能力强,职业适应能力强,动手操作能力强,抗压能力强,团队协作能力强,组织能力强
18,供应链主管/经理,"供应链管理知识,仓储管理知识,运输配送知识",快速学习新的供应链业务模式和技术,"商务谈判能力,数据分析能力","能清晰表达业务需求和方案,与不同团队有效沟通",提供创新的供应链解决方案,能有效执行供应链产品的业务模式设计,能有效管理自己的工作进度和任务,能适应不断变化的供应链市场和技术环境,能实际操作和管理仓储和运输设备,"能承受工作压力,在挫折面前保持积极态度","能与团队协作,推动供应链业务发展",能有效组织和管理供应链产品的业务模式设计项目。
19,广告设计,"kv等创意设计, ppt美化, 长图文排版, 手册, 卡片, 包装设计排版, 简单手绘技能",能够学习并掌握新的设计软件和技术,基本的美术和设计原理知识,能够与团队和客户有效沟通并表达设计理念和要求,能够提供创新的设计方案和理念,能够按时完成设计任务并具有高质量的设计执行能力,能够有效地管理时间和任务，有良好的自我组织能力,能够适应广告设计领域的快速变化和压力,具备熟练的设计软件和工具操作能力,能够在工作中承受工作压力和面对挫折，并积极寻找解决方案,能够与团队成员协作，共同完成设计项目,能够组织和管理设计项目，保证项目的顺利进行
20,物流专员,"运营分析处理能力, 出口随机文件准备能力",适应学习新的系统信息录入,无,无,无,"进出口运单填制能力, 系统信息录入能力",无,无,无,"处理时效, 滞留, 成本分析能力, 对工作压力的承受能力",无,无
21,人事专员,"与物流、仓储、运输相关知识掌握, 熟悉仓储、运输业务职能要求",能够快速学习物流、仓储、运输方面的知识,具备一定的通用知识和技能,能够与相关部门进行良好的沟通和表达,具备在工作中提出创新解决方案的能力,能够有效地执行工作任务,具备自我规划和自我管理的能力,能够迅速适应新的工作环境和岗位要求,具备处理物流、仓储、运输相关操作的能力,能够在工作压力下保持良好的心理状态和工作表现,能够与团队成员协作，完成工作任务,具备组织和管理工作的能力
22,总裁/总经理/CEO,项目策划、财务管理、城市发展、市场营销,快速掌握新领域知识,经济学、管理学、法律法规,清晰表达意见、能有效沟通,提出创新解决方案,能有效执行工作计划,时间管理、目标设定、自律,对不同领域快速适应,熟练操作办公软件、项目管理工具,处理工作压力、挫折能力强,能够与团队成员协作、协调工作,有效组织资源、管理团队
23,客服,"客服流程和技巧, 问题解决能力, 电话沟通技巧",快速学习新产品和服务知识,社交礼仪和礼貌用语,"清晰表达想法, 听取他人反馈",提出改善客户体验的新想法,能够快速有效地解决客户问题,组织时间和任务管理,能够应对客户各种不同情况和需求,熟练使用客服系统和工具,在高压情况下保持耐心和冷静,与团队合作解决客户问题,能够有效处理客户投诉和问题管理
