job,专业,性格,软件技能,工作内容,品质
新媒体内容运营主管,"新媒体内容运营主管
[无",热爱生活、有运动习惯、马拉松优先,自媒体账号（公众号/小红书矩阵账号等）运营、选题内容策划、数据分析、账号增粉规划,运动、内容、拍摄、剪辑/图片工具、小红书、微信,热爱户外或运动、自驱力、懂内容、爱拍摄、具有发现问题和解决的能力]
小红书抖音mcn编导、文案、内容运营,学历本科以上,热爱刷小红书，抖音，b站，微博等社交媒体平台，有网感,无,协助博主输出脚本、内容，内容需要有专业度，针对产品做全面的产品分析，包括产品成分或参数、功能功效、使用方法、使用场景等；根据博主垂直内容方向，结合时下热点、热门话题优质内容，产出日常内容，提升账号数据与粉丝增长；负责设计孵化新博主账号人设、内容创意；分析博主笔记数据、涨粉趋势并做出相应的内容调整；博主内容选题，内容规划等,对时尚、对美的事物有自己的态度和认知;有mcn、孵化博主、大博主操作经验优先;热爱文字，文笔优秀，脑洞大开，对于内容有自己的想法，创意能力突出，文案能力优秀，有过爆款内容及成功的案例;有过互联网/媒体平台/新媒体营销相关工作背景，对新媒体/内容营销有热情、有思考；有良好的沟通能力强
新媒体内容运营,"新媒体内容运营
无",责任心强,视频号/小红书/抖音,内容排期规划、封面标题、用户运营、活动运营、数据分析,创作能力、责任心、数据思维
内容运营,"财经内容运营
[财经相关专业",有内容判断力、熟悉财经新闻运营、具有用户分析能力,熟悉热点、热榜产品逻辑,负责内容推荐与优化、规划重大节点内容、数据整理与优化,具有策划、组织及项目管理能力、独立完成项目策划、熟悉内容生产、传播的整体链路]
知识付费内容策划,"知识付费内容策划
[无",善于埋钩子、逻辑条理清晰、良好语言表达能力、团队协作能力、学习能力强、执行力强,懂文案、懂营销、制作PPT,"负责公司社群、朋友圈、等渠道进行内容文案策划、围绕公司业务板块及营销需求负责公司私域直播内容策划、负责公司私域直播的内容，合理制定计划，并推进进度、对内容及热点新闻具有一定敏感度，关注竞品及时政新闻,及时更新公司内容",善于埋钩子、良好语言表达能力、团队协作能力、学习能力强、执行力强]
IP内容运营,无,细心、执行力强,Office、wps、社群管理相关软件,IP人设的内容策划与撰写、内容运营平台的核心数据优化、用户交互设计与执行、跟进内容传播/电商货品推广效果,系统性思维、数据分析能力
TikTok内容运营,"TikTok内容运营
[无",结果导向、自我驱动能力强,短视频运营策略,账号管理、内容运营、视频策划、数据分析,海外社媒常驻民、优秀的内容规划与项目落地能力]
内容运营实习生,无,创意、执行力强,文案撰写、拍剪、数据统计及分析,参与账号选题策划、内容创意、图文、短视频等文案撰写、拍剪和内容分发、协助社群账号的运营、数据统计及分析,执行力强、创意能力突出、良好的沟通能力
内容运营\淘宝内容运营,"专业：无
性格：有审美，思路清晰，能快速上手工作节奏
软件技能：熟悉淘宝、抖音、小红书后台操作
工作内容：负责不定期的新品选品需求提交，负责个人链接销量及相关维护工作，策划内容的表现形式，把控质量并根据数据反馈复盘并调整计划，多平台（淘宝、抖音、小红书）账号内容同步分发，每周工作复盘
品质：有审美，擅长内容板块流量，有内容策划能力",无,无,无,无
内容运营,"内容运营
汉语言文学、广告、新闻相关专业",热点追踪能力、创造性思维,数据分析能力、PS,产品卖点挖掘、文案更新、活动策划、礼盒定制,良好的沟通能力、良好的数据分析能力、学习总结能力
品牌内容策划,[中文、新闻、传播、编导、新媒体,具有创意、文字功底扎实、良好的沟通能力和团队协作能力,无,品牌整体文案策划、品牌活动主题文案策划、内容创意制作及推广、宣发计划制定、品牌策略对接及落地执行、外部推广合作对接,对医美行业有一定认识、影视传媒、媒体、内容平台工作经验者优先考虑]
新媒体运营主管/内容运营（小红书方向）,"新媒体运营主管/内容运营（小红书方向）
[市场营销、新媒体、新闻学专业",性格开朗、沟通能力强、思维活跃、主动性强,小红书、抖音、快手、B站、视频号等社交新媒体平台的运营规则,策划及筹备新媒体内容、新媒体账号的内容生产和策划、用户调研和市场调研、行业专业知识研究,具备较强的学习力及执行力、有一定的市场敏锐度和洞察力、有较强的医美专业知识功底和行业认知]
淘内内容运营,"1. 专业：无
2. 性格：责任心强，抗压性强，逻辑清晰
3. 软件技能：无
4. 工作内容：微淘运营、粉丝趴运营、品牌账号运营、统计并分析运营数据、协助其他任务
5. 品质：具备2年以上淘内内容运营经验，可以输出观点清晰的方法论/数据报告。",无,无,无,无
TikTok内容运营,"TikTok内容运营
[无",创意创新能力,抖音、tiktok,负责公司tiktok短视频的内容方向，画面把控，创意构思及脚本创作；协助团队完成短视频拍摄及后期剪辑工作，保质保量完成目标；熟悉短视频内容电商生态，且擅长做内容转化类视频创意，对视频投放有深入的了解；闭环负责管理视频拍摄剪辑工作，把控整个视频的脚本情节设计、镜头衔接、节奏感、画面美感、音乐及视觉表达创意性；能够深入理解品牌调性、产品卖点和用户需求特征，依据其洞察来创作短视频和营销内容,脑洞大、点子多、思维敏捷]
新媒体运营/内容运营,"新媒体运营/内容运营
无",审美观念良好,无,撰写内容、拍摄构图、了解美学,对服饰有一定了解，有良好的审美观
内容运营,"内容运营
无",团队合作精神,内容策划与运营、内容编辑,负责内容策划与运营，提升用户体验、监控内容效果，优化内容策略、与团队协作，确保内容质量与创新性,出色的内容创作与编辑能力、能够独立进行内容运营分析和优化、良好的团队合作精神、有效沟通
抖音短视频内容运营,"电视编导，影视广告，市场营销
活跃，洞察力强，创意改编能力
抖音、快手
收集、研究网络热点话题，策划热点相关创意内容，短视频内容运营，数据分析，运营优化
工作经验，熟知平台运作特点，IP账号案例，视频脚本撰写、拍摄与后期",无,无,无,无
新媒体内容运营,"新媒体内容运营
无",审美、团队协作能力,图片处理、文案编辑,撰写文案、熟悉规则避免违规、内容输出与分发、策划短视频、制定运营策略,审美、团队协作能力
新媒体运营/品牌运营/内容运营,"新媒体运营/品牌运营/内容运营
[无",无,新媒体内容制作工具,内容策划与创作、社交媒体管理、活动策划与执行、用户互动与客户服务、数据分析与报告、新媒体趋势跟踪,文字表达能力、创意思维、社交媒体运营经验、数据分析能力、团队合作精神、沟通能力]
内容运营,无,沟通能力强，细心耐心，责任感强,微信客服，视频编辑软件,处理日常用户需求，订单跟进，微信客服回复，视频发布,责任心，细心，耐心
内容运营/用户运营/新媒体运营,"无
文案/剪辑/热点追踪
社媒平台（小红书/得物/抖音/淘内）
1、社媒平台官方账号的内容发布和管理
2、品牌的用户运营（粉丝量/老客/私域）
3、品牌的内容整合（图文、视频）
独立完成社媒端基本操作
浓烈的社媒兴趣
脚踏实地，敢于创新，持续突破",无,无,无,无
内容运营,"内容运营
无",沟通能力、团队合作精神,数据分析能力、逻辑思维能力,根据用户反馈和数据分析，优化小红书、公众号、抖音、视频号等内容；参与新功能和课程的开发；监控和分析内容运营的效果，定期提供报告；跟踪教育行业的最新动态和趋势；参与制定和执行内容营销策略，提升品牌影响力,实时热点把握能力，独立工作能力，项目管理能力
新媒体内容运营,"新媒体内容运营
【无",细心、有创意,Office办公软件、新媒体平台操作,新媒体账号运营、话题策划、文案撰写,创意思维、文字功底】
内容运营实习生,广告传播、市场营销、新媒体营销、数字媒体等相关专业,目标导向，主动性强，有一定抗压能力,熟练拍摄、剪辑、脚本文案撰写,负责公司品牌账号每日的商品笔记内容发布、负责每日内容的选题、拍摄、剪辑、文案编辑和发文工作、与部门其他人员进行沟通对接内容运营事项,有网感、脑洞大，富有好奇心和创新精神
内容运营实习生,市场营销、新闻传播学、广告、传媒等相关专业, 逻辑思维能力、市场分析能力,剪映、PS,协助打造并运营公众号，视频号，小红书，抖音等平台账号，包括内容创作、视频拍摄剪辑等；密切关注行业新闻、热点，充分了解市场导向，通过有效的传播路径，宣传、推广公司品牌及业务；社群运营；协助活动项目的执行与管理,良好的数据分析能力、较强的文案编辑能力
小红书内容运营,"小红书内容运营
[无",无,无,负责客户小红书账号的运营以及内容方向把控；对于客户账号，在小红书平台上的定位策略以及投放规划进行设计跟进；负责公司内部内容的输出的监管以及指导,无]
小红书内容运营,"小红书内容运营
[无",文案功底扎实、具备优秀的策划能力、创新能力,抖音、微博、B站、小红书、快手等短视频平台,根据达人方向及粉丝人群进行时尚相关内容的策划、选题挖掘、素材收集、系列视频方案的编写、视频风格把握、参与视频拍摄后期制作、建立有效运营提升用户活跃度增加粉丝数、数据分析优化和修改,热爱时尚、服饰、美妆及生活类内容、敏感时尚类选题、具备良好的团队合作意识和沟通能力、较强的能力]
内容运营（小说/网文/短剧）,"文学、传媒、影视等相关专业
执行力强
数据分析
1、热点分析，透传给编剧；2、联合团队打造爆款，提升内容竞争力；3、确定内容发展方向，保证内容健康发展
熟悉网文、短剧内容特点，良好的运营思维，抗压力强",无,无,无,无
美妆内容编导,"美妆内容编导
[编导专业",脑洞大，有想法，抗压性强,抖音,策划创意内容主题、拍摄架构和执行、美妆知识梳理、抖音技巧应用、账号策划和数据分析优化,热爱美妆，创意审美，沟通能力强]
内容运营（大事件策划）,新闻、传播相关专业,敏感、责任心强,数据分析,热点洞察、内容推荐、营销方案策划,敏感、责任心强
媒介内容运营（双休/五险一金）,"媒介内容运营（双休/五险一金）
[市场营销、传播学广告学、公关关系、汉语言文学等相关专业",无,小红书、抖音、微博等新媒体平台,负责公司强功效产品的达人心智种草，包含达人内容brief创作、脚本方向撰写、达人脚本和短视频质量把控；拥有策略洞察、整合营销方面的能力，输出新媒体种草营销全案。包括但不限于:竞品分析、营销策略、内容、运营执行等部分；熟悉小红书、抖音、微博等新媒体平台的玩法，有成功的种草运营方法论，熟知不同达人类型与不同类型内容的匹配和组合逻辑，有独到的内容策略见解；负责部分用户运营、维护工作，根据不同阶段的业务目标进行有针对性地方案产出及执行,无]
内容运营,"内容运营
无",学习能力强，外向，善于沟通，敏感时尚,微信、微博等文案创作，新媒体写作,负责内容策划、编辑、原创内容策划与编辑、热点敏感度、增加粉丝数、提升用户活跃度,文笔好，学习能力强，外向，热爱新媒体行业
小红书内容运营负责人,"小红书内容运营负责人
[无",具备审美、内容洞察力、网感好,短视频拍剪能力,产出和运营口腔类小红书账号的内容策划、持续有效的内容营销获客,具备审美、内容洞察力、网感好]
内容电商营销运营,"居家、个护、母婴、食品等至少一个类目的商品或行业趋势、深度了解居家、个护、母婴、食品等至少一个类目的商品或行业趋势，既往有该类目商品营销经验优先、具有良好的选题策划能力，有消费指南/好物种草等相关领域内容策划经验优先、3 年以上新媒体内容经验、文字撰写能力扎实、能熟练操作不同的内容类型，比如清单、榜单、编辑推荐等、善于洞察和捕捉热点，学习能力强，有项目管理意识，逻辑思维好
无
无
策划爆款导购类内容，通过优质内容为用户提供商品消费建议；深入剖析商品端，洞察用户需求和商品之间的关联，完成不限于推文、漫画、视频文案等内容输出，对商品的转化和营收负责；参与负责类目的视频号内容策划和直播，能为最终运营目标负责，且及时推动各方保证推广方案落地效果，迭代优化
无",无,无,无,无
品牌/内容运营,"品牌/内容运营
[新闻传播、广告、市场营销类专业",主动积极、抗压能力强,无,参与法保网品牌建设、负责官网、官微、视频号等自媒体矩阵的建设与运营、负责产品价值及标杆案例的包装推广、根据业务目标制定各媒体渠道的内容规划与分发策略、建立和维护与媒体、协会、行业专家、代理商、客户的良好关系、能独立跟进访谈并产出优质内容、参与打造法保网创始人IP、借此深化法保网市场影响力,具备ToB内容运营思路及出色的内容生产能力、较强的文案、长短视频策划能力、较强的创意性思维和审美力、优秀推广案例、ToB短视频账号操盘经验及方法论、数据化营销运营能力、沟通协调能力、擅长并热爱发现问题和解决问题]
新媒体内容运营专员,"新媒体内容运营专员
[无",良好的内外部协调及沟通能力、责任心强,网站设计、抖音、视频号、UI设计、拍摄、剪辑,公司网站设计、抖音、视频号等平台账号的运营、线上渠道引流、创意脚本编写、素材拍摄整理、数据分析和反馈,本科及以上学历、懂网站设计、拍摄、剪辑、文字功底扎实]
内容运营,"内容运营
[无",执行力、学习力强、独立思考能力,小红书玩法,策略规划、内容创作、数据复盘、用户社群维护、品牌联动,文案及创意力强、流量思维、有耐心]
商品内容运营,"启蒙教育、市场营销、教育学
逻辑分析能力、独立思考能力、学习能力
微信、微店、快团团、群接龙、抖音、小红书
负责潜力爆品选品、推品、商品内容运营和活动运营；挖掘孩子家长在学科需求，制定商品推广策略；分析客户需求，完成产品卖点提炼，详情页内容生产；协助市场研究、数据分析
独立出品能力、逻辑分析能力、写作能力、学习能力、沟通与协作精神、对儿童成长和教育有认知",无,无,无,无
内容运营,"内容运营
服装类、美妆类
有想象力、创造力
小红书、微博、抖音、淘宝
公众平台品牌账号运营、内容策划、文案撰写、数据分析
有时间观念、责任心强、执行力强、有活力、有梦想、有创造力",无,无,无,无
内容运营主管（TO B）,"内容运营主管（TO B）
[无",敏锐、创新,Office、PPT、图片、视频剪辑软件,内容发布、活动策划、用户互动、数据统计分析、私域活动策划、落地私域活动实施、内部平台功能持续优化,沟通协调能力、项目管理能力、落地执行能力]
海外内容运营总监,"海外内容运营总监
【英语相关专业",CET6及以上,沟通能力、责任感、团队合作,短视频剪辑、社区运营,洞察力、创意能力】
新媒体内容运营,"新闻学
有责任心，良好沟通能力，团队合作精神
剪映，PS
1、负责摄影赛道的知识IP抖音账号运营；2、负责短视频内容策划，为账号的数据增长负责；3、参与赛道相关的调研工作，生产符合用户需求的直播内容；4、协助处理摄影赛道私域低转高相关工作
数据分析能力，内容策划能力，热爱互联网，对在线教育产品\知识付费领域感兴趣",无,无,无,无
美妆内容策划,"美妆内容策划
[无",外向,小红书、抖音,规划月度品牌、自媒体、活动端内容输出；完成落地；做小红书官方号运营；对抖音官方号内容更新；投放端，配合筛选达人号，对达人产出内容把关；完成其他相关工作：品牌手册、公众号、百度系、PR、知乎、微博等；协助产品完成前期调研工作；做好各平台数据收集、复盘工作,主观积极性强]
新品内容运营,无,具备热点敏感度，沟通协调能力强,数据分析能力,制定并落地营销策略，内容策划&运营，项目管理,具备一定的内容敏感度，独立项目管理经验
古玩内容运营,"古玩内容运营
[文物与博物馆学类",热爱表达和沟通，头脑敏捷，思维活跃,无,介绍文物亮点、历史故事、工艺传承，并负责文物艺术品专业知识内容输出；负责撰写、编辑和优化古董类内容文案，包含但不限于：图文笔记、内容评论等；从影视角度结合新媒体(小红书、抖音等)逻辑，提出合适的、富有创新意识和吸引力的画面视觉创意,对古董文化有较深入了解和研究，较强的文案功底和审美能力，对热点事件和动态有一定敏感度]
小红书内容运营专员,"小红书内容运营专员
无",细心、有创意、执行力强,剪辑软件、AI, 日常基础运营、内容创作、流量分发、数据分析、热点策划,审美、创意、执行力强。
运营专员兼投喂师,"运营专员兼投喂师
[无",责任心强,Excel,获取客户咨询、账号运营、视频发布监测和调整、分析结果,自媒体运营经验]
新媒体运营专员,"新媒体运营专员
【无",抗压能力强、善于沟通、服务意识强、情商高,内容创作、设计排版、文案策划、用户共情、社群运营、数据分析、推广能力,"负责品牌抖音、视频号、小红书等短视频账号的运营维护及管理；负责维护提高短视频账号观看人数以及活跃度；负责完成日常选题策划，写作、采访、拍摄及编缉工作；负责分析视频数据并进行用户行为研究,增加粉丝互动与粘性；负责了解各平台用户增长及转化模式，善于捕捉网络热点话题，提升产品转化率",具有优秀的数据分析能力；具备一定的策略规划能力，并自有一套成熟打法】
小红书运营专员,"小红书运营专员
无",沟通能力强，具备创新思维和执行力,微信、微博、小红书、数据分析工具,内容策划、数据分析、用户互动、账号管理,耐心、责任心、执行力强
运营专员（双休，早9晚6）,"运营专员（双休，早9晚6）
[无",活泼，认真踏实，积极主动，愿意加班,天猫、小红书、抖音、快手、CRM、office办公软件,负责天猫、小红书、抖音、快手等平台的运营工作，策划与制定活动和SOP，链接优化，营销设置及检查，素材页面检查与上线，对接客服，文案策划、CRM、设计工作，操作店铺后台,学习沟通能力，问题分析及解决能力，沟通协作能力，结果导向，抗压力，认真，有责任心]
海外社媒运营专员,"海外社媒运营专员
[国际贸易，媒体或营销相关专业",具有一定的抗压性和团队协作精神,Office办公软件、短视频剪辑能力或PS等设计工具,内容运营及跟踪维护、策划社媒活动、撰写品牌宣传文案、粉丝关系维护、社媒活动数据分析和总结、视频拍摄脚本撰写和拍摄,形象气质佳、良好的英语文案撰写及表达能力]
运营专员,"运营专员
[医疗行业相关",细致,Excel、ERP,数据整理、仓库管理,数据敏感]
运营专员,"运营专员
[无",沟通协调能力、责任心、抗压能力,无,产品链接创建优化、链接数据维护、营销活动提报、产品爆款打造、发货维护,数据分析能力、店铺铺货经验]
跨境Tiktok运营专员,"跨境Tiktok运营专员
[无",独立、结果导向、沟通能力,Premiere、剪映、PS、AI,海外版抖音TikTok账号搭建和管理、内容运营和推广、数据分析、短视频制作,熟悉海外社交平台、热爱新媒体行业、高效产出音视频]
电商平台运营专员,"电商平台运营专员
[无",有组织能力,无,对接电商业务，如美团优选，抖音，淘宝，天猫等平台,愿意从零开始]
运营专员,无,思维活跃,摄影剪辑短视频,产品日常维护与推广、用户管理、内容撰写、活动策划,创新能力、沟通能力
跨境电商运营专员,"跨境电商运营专员
[无",思维灵活且有逻辑性、良好的沟通能力、团队合作精神及独立完成工作任务的能力,办公自动化软件,产品管理、市场营销、客户服务、数据分析、运营改进、库存管理、店铺管理,本科及以上学历、思维灵活、良好的沟通能力、学习能力好、数学计算能力强]
电商直播运营专员,"电商直播运营专员
[无",活泼开朗,办公软件，PS，PR，剪映,直播运营，团队管理，数据分析,沟通能力，临场应变能力，团队管理经验]
新媒体运营专员,"新媒体运营专员
[市场营销、传媒广告",热爱时尚和服装行业,微信公众号、微博、小红书、ins,制定和执行服装品牌的新媒体运营策略、管理和维护品牌社交媒体账号、跟踪和分析新媒体运营数据,对时尚趋势和品牌文化有敏锐的洞察力和理解力、具备优秀的文案撰写和编辑能力]
展厅运营专员(J10645),"展厅运营专员(J10645)
[旅游管理、播音、主持等相关专业",形象气质佳、亲和力强、责任心强,无,展厅咨询台日常事务、展厅日常管理、展车管理、参观讲解、会务前准备及会客区域管理、展厅公众号内容编写推送、主题活动执行,具备良好的讲解技能、工作责任心强]
新媒体运营专员,"新媒体运营专员
[新闻、广告、中文相关专业优先、本科及以上学历",良好文案表达能力、沟通能力,熟悉微博、小红书、抖音等网络平台的流量机制,负责公司网络媒体内容编辑、更新、发布、维护；负责网络媒体的软文、宣传资料、活动及新闻稿件的撰写及美工编辑；负责公司宣传资料的收集、整理、校正；参与组织策划网络话题活动，跟踪推广效果，整理分析数据并反馈；挖掘用户的需求，提供优质、有高度传播性的内容，促进拉新、转化,细心仔细、执行力强、思维敏捷、头脑灵活、思路清晰、有想法、有创意、热爱文字]
线上店铺运营助理或者专员,"线上店铺运营助理或者专员
【无",细心、进取、责任心,摄影、小视频拍摄剪辑,门店运营、小程序店铺推广、了解搜索排序规则、朋友圈推送、完成销售目标、调整关键词提升流量、协助店长运营工作,认真细致、进取心、抗压能力、沟通能力、执行力】
新媒体运营专员,"新媒体运营专员
【新媒体、广告传媒等相关专业",开朗、有激情、团队合作能力、抗压能力,熟悉抖音、快手等直播平台规则、数据分析能力,新媒体账号运营、内容策划、粉丝运营、直播运营、店铺运营、抖音项目团队建设、跨部门协作,具有很好的团队合作能力、抗压能力、对数据有系统和深刻的认知】
运营专员/主管,"运营专员/主管
[无",工作细致、擅长数据分析,拼多多、淘宝、物流仓储数据分析、竞品分析、运营数据分析、推广效率预估,自学能力、抗压能力],无
运营专员,"运营专员
电商运营相关专业",沟通能力、抗压能力、执行力,无,负责天猫、京东、拼多多等各平台运营，完成销售额目标，每日数据统计，提出运营优化建议并执行，对接行业小二，关注平台行业活动，完成提报，有能力者有机会调岗到亿级店铺,责任心、上进心、开朗。
阿里巴巴运营专员,"阿里巴巴运营专员
[无",责任感、学习能力、团队合作精神,阿里巴巴国际站规则操作、产品上下架、内容编辑、店铺装修、详情页管理、活动推广,挑战、学习能力、团队合作精神],无
金融中台交易运营专员,"金融中台交易运营专员
[会计、金融、经济",细致、分析能力强,MS Excel、Geneva System,负责交易处理、团队管理、流程优化、文件管理、协助业务项目、管理内部政策合规等,对金融工具有扎实的了解、优秀的分析能力、工作效率高、有条理、工作积极主动]
欧洲跨境电商运营专员,"专业：无
性格：乐观开朗，积极主动，团队意识强烈，具备较强的逻辑思维能力和数据分析能力，抗压性强，能接受适度加班
软件技能：办公软件特别是Excel运用熟练，并具备优秀的学习力
工作内容：欧洲主流电商平台的独立运营，竞品分析，运营规划和货品规划，制定运营计划，撰写运营数据分析报告，跟进平台规则与政策，熟悉排名规则，提升产品排名
品质：乐观开朗，积极主动，团队意识强烈，具备较强的逻辑思维能力和数据分析能力，抗压性强",无,无,无,无
新媒体运营专员,"新媒体运营专员
[市场营销、广告、新闻等相关专业优先",无,无,负责公司品牌在小红书、抖音等平台的内容运营，包括但不限于内容的策划、撰写、投放等；负责短视频、引流视频的投放及日常投放运营工作，及时根据运营结果调整投放内容；及时关注网络热门词汇、流行元素、关键词等，能够独立策划热门选题、优化标题；及时跟踪内容推广效果，并监控主流信息流渠道的广告投放、广告账号，能够根据数据反馈、用户反馈及时调整和优化内容,无]
新媒体运营专员,"新媒体运营专员
【无",细心，善于沟通,小红书、视频编辑软件,运营小红书账号，视频号更新，引流到私域微信，输出小红书图文笔记，引流到私域,审美，文案能力，视频制作能力】
新媒体运营专员,"新媒体运营专员
【无",思维活跃，有较强的文字功底,熟悉使用办公软件,日常运营及推广工作，内容建设、创意话题、组织线上活动、互动、微信公众号运营、策划执行微信营销活动,良好的理解以及较强的逻辑分析能力和执行力】
跨境电商运营专员,"跨境电商运营专员
[无",责任心强，细心、有耐心，对跨境电商有浓厚的兴趣，抗压能力强,Photoshop,负责速卖通、Tume、SHEIN、Tiktok等平台账号管理，产品上传，优化 listing;分析平台排热卖产品排名，寻找潜在爆款，打造爆款;维护客户渠道，及时处理店铺留言，维持店铺好评率,"无]
"
"跨境电商运营专员
[本科及以上学历",对外贸业务及电子商务有一定了解,英语CET,4及以上,负责亚马逊平台产品内容的产品编辑、对在线产品定期优化、分析竞争对手、完成店铺发货等相关辅助工作,有热情、持之以恒、有耐心和团队协作精神]
高级市场运营专员,"高级市场运营专员
    市场营销/新闻传播/广告/英语/设计等相关专业",活跃、学习能力强,内容运营、文案撰写、数据分析、海外社媒平台管理,品牌公域矩阵整合布建、内容生产及账号运营、海外社媒平台管理、原创优质内容产出、宣传口径梳理、线下活动宣传布展,独立完成选题策划、学习能力强、具有文字功底、海外留学或外企工作经历者优先
新媒体运营专员,"新媒体运营专员
[无",无,【小红书/抖音/快手/视频号】,拍摄脚本撰写/安排拍摄计划、内容发布、负责商品的视频发布和投放、视频装修业务内容框架搭建及维护、制定运营方案、分析业务数据、设计优化推广策略、提炼爆款卖点、行业市场及竞品分析、领导交办工作],深度理解内容装修行业特点、提升kol使用率和收入、推动新产品落地、完成标杆案例/方法论的挖掘与建立、收集和评估客户需求、解答产品问题、推动业务不断完善]
跨境电商运营专员,"跨境电商运营专员
[无",自驱力、研究力、执行力,沃尔玛、wayfair后台操作、产品定价、撰写数据分析报告、维护账号安全,敏锐的品牌化运营思路、丰富的实战经验],无
跨境电商运营,"跨境电商运营
无",责任心、沟通能力、独立能力,熟悉Wish平台等跨境电商平台,选品、产品编辑、店铺运营、销售计划制定,跨境电商经验、团队沟通能力
跨境电商运营/助理,"专业：电子商务、国际贸易、市场营销或英语专业优先
性格：思维灵活，逻辑清晰，有一定的应变能力，责任心与抗压力强，有目标感与自我驱动力，具备团队沟通与协作意识
软件技能：熟练使用办公软件
工作内容：与同组运营伙伴协作，开展各平台店铺日常运营工作，包含商品上下架、价格调整、详情页优化等；共同维护店铺绩效安全，Listing健康状况；关注各平台店铺后台数据表现，以及各平台的规则和政策更新；制定营销计划，如促销活动、广告投放等，提升产品的曝光率和点击率；学习并管理店铺整体运营，完成上级交予的相关工作任务
品质：应变能力强，目标感与自我驱动力，责任心强，具备团队沟通与协作意识",无,无,无,无
跨境电商亚马逊运营,"跨境电商亚马逊运营
【跨境电商相关专业",沟通协调能力、系统分析和解决问题能力,英语、Amazon等跨境平台运营经验,制定营销计划、店铺管理及维护、分析产品关键词、销售策略调整、销售数据统计、市场竞争对手信息收集分析,良好的沟通协调能力、有激情、思维灵活、责任心和抗压能力】
跨境电商运营专员,"跨境电商运营专员
无",积极主动、责任心强、具备良好的团队合作精神和抗压能力,无,海外店铺运营管理、市场分析与策略制定、数据驱动决策、跨部门协作,具备良好的英语听说读写能力，能流畅沟通国际事务逻辑思维能力强，善于数据分析，具备解决问题的能力
跨境电商运营专员,"跨境电商运营专员
[无",思维灵活、逻辑性、沟通能力、团队合作精神、独立完成工作任务的能力,办公自动化软件,运营亚马逊的在线商店、客户服务、数据分析与运营改进、库存管理、店铺管理,本科及以上学历、良好的沟通能力、学习能力好、数学计算能力强]
