adjusted_job,job,detail,工资,经验要求,学历,公司名称,公司阶段,公司规模,公司领域
运营岗,基金运营岗,1、二级市场证券类基金产品的设立、变更、备案、开户、清算等产品全流程管理和有效运营；2、参与投后管理工作，如日常数据管理及维护、信息披露、材料整理归档等；3、参与申赎、资金划拨工作；4、其他上级安排的工作。任职资格1、本科及以上学历，2年以上工作经验，熟练掌握办公软件，有较强的EXCEL技能；2、责任心强、认真细致、善于沟通、较强的学习能力，能适应多任务、快节奏工作；3、有私募行业工作经验者优先。,10-15K,3-5年,本科,星阔投资,不需要融资,20-99人,基金
运营岗,审核运营岗,岗位职责1、根据公司制定的整体目标，对项目KPI负责，制定运营计划并执行落地；2、对于现有供应商管理及新供应商进行开拓；3、对所负责项目内容的创作、编辑、发布、更新和维护，对内容的传播、目标效果负责；4、参与项目其他日常运营工作，处理日常事务和突发情况；任职资格： 1、统招本科以上学历，有过往相关运营审核经验； 2、在工作上细心严谨，有快速学习能力； 3、具备较强的团队管理能力、逻辑思维能力、跨部门协作能力； 4、有强大的责任心和学习能力，能快速适应互联网公司节奏,8-13K,1-3年,本科,伯乐互联,未融资,20-99人,互联网
运营岗,企业运营岗,工作描述：1、企业维护与服务：维护并服务新物种企业，与企业家建立良好互动，及时了解并分析企业需求；根据企业需求，协调所内外资源为企业提供管理咨询、资源链接等服务；2、活动策划与组织：负责论坛发布活动策划、组织与企业或媒体嘉宾接待；定期策划组织新物种企业家俱乐部活动，包括但不限于主题座谈会、投融资路演会等活动；3、日常运营管理：线上管理平台信息的日常维护，承担月报管理等工作，负责活动新闻的内容编制；4、宣传推广：协调内外部资源进行俱乐部产品推广，活动推广。任职要求：1、本科及以上学历，企业管理、工商管理等专业优先；2、有科技企业服务、社群运营及活动策划组织等工作经验者优先；3、具备较好的学习力与抗压能力，拥有热情开朗的性格，具备较好的沟通能力及团队协作精神；4、技能要求：熟练掌握Excel、有一定文字撰写功底、有想象力。,8-10K·13薪,1-3年,本科,长城战略咨询,不需要融资,500-999人,咨询
运营岗,流量运营岗,岗位职责1、负责盘清目前公司体系内流量分布情况，包括不限于：固定入口/营销位/活动位/PUSH/短信/电销等资源位情况。2、针对所负责用户触达类型，可将入口流量及人群特性精准定位清晰。负责绘制业务流量地图3、基于月度目标，精准匹配对应流量，为触达用户总量及所需质量以上用户的有效触达量负责4、合理分配各用户触达工具使用并落地操作触达用户，以求流量成本效率最大化5、负责对接体系内各触达产品团队、流量团队任职资格：1、本科及以上，5年以上工作经验2、流量平台类目整合营销经验优先3、逻辑能力强，对数据敏感。表达能力强，沟通能力强。4、有APP内大型活动负责人经验的优先（类双十一/618）5、对流量运营有自己理论体系，有成本意识6、负责任、学习能力强、同理心强，需要很好的适应能力与抗压能力7、对工作充满激情，对产出有ownership和责任心,25-50K·16薪,5-10年,本科,度小满,A轮,1000-9999人,互联网
运营岗,数据运营岗,岗位职责1. 参与数据指标体系搭建及日常业务量化追踪监测，输出日常数据报告。2. 深入调研业务需求，发现业务问题，将数据分析结果转化为具体的操作策略，推动问题解决，跟踪效果形成闭环经验。3. 推进用户精细化运营，挖掘细分人群的使用场景及习惯，完善用户画像，协同内容团队面向细分人群提供精准服务。4. 发掘数据应用场景，参与数据产品规划，提出数据侧需求，参与数据产品建设，落实数据产品宣讲。5. 完成领导交办的其它工作。任职条件1. 两年及以上数据运营经验。2. 掌握数据收集和整理方法，了解数据分析和挖掘方向。3. 能够通过数据化思维形成解决方案，能够协调业务人员有效推动问题的解决。4. 本科及以上学历，计算机、统计、数学、信息技术等相关专业优先。5. 具备良好的沟通能力、学习能力、逻辑思维能力，对数据敏感者优先。6. 细心严谨、责任心强、抗压能力强者优先。,9-11K,1-3年,本科,北京讯听,不需要融资,20-99人,移动互联网
运营岗,面签运营岗,"职责说明：1. 负责已完成面签客户的维护和运营；2. 负责协助部门对已完成面签客户的答疑解惑；3. 负责对企微账号的日常管理与维护；4. 针对客户提出的问题，协调各部门解决影响后续用车的相关事宜。5. 负责统计汇总客户反馈的相关问题，制定有针对性的优化方案，促进面签工作持续发展。6. 确保在司期间输出与输入的信息具备合规性、真实性；7. 领导交办的其他事宜；任职要求：1.大专学历及以上, 2 年以上相关工作经验；2.熟练应用Excel(函数、透视表、宏)，Word、PPT；3.具备较强的沟通、协调及组织能力；4.有其他融资租赁公司或汽车金融公司贷后拖车业务经验的优先考虑；5.乐于从事富有挑战性的工作，抗压能力强，积极主动，能适应倒班制工作节奏。做六休一，需要出镜，征信无不良记录。",6-7K,3-5年,大专,花生好车,B轮,1000-9999人,互联网
运营岗,数据运营岗,一、基本条件1.具有良好的政治素质和道德品行，坚持党的领导，拥护国家大政方针；深刻领悟“两个确立”的决定性意义，自觉增强“四个意识”，坚定“四个自信”，做到“两个维护”；2.具有良好的职业素养和团结协作精神，认同我行企业文化和价值观，认可我行规章制度；3.爱岗敬业，诚实守信，德才兼备，廉洁自律，责任心强，身体健康；4.符合我行岗位胜任能力要求，具备相应岗位的任职资格和能力要求，具有较强的风险合规意识；5.具备与岗位要求相匹配的学历、专业、年龄、从业年限、年度考核、政治面貌等条件，招聘管理序列人员的还应符合我行管理序列职务任用管理相关要求；6.符合我行员工行为管理相关要求，符合我行任职回避和招录回避相关制度要求，无经商办企业或在企业兼职的情形；7.无违法犯罪记录，无其他不符合我行录用标准的情形，在招聘阶段未处于问责影响期内，无正在接受组织审查调查的情形；8.对退役军人等，在同等条件下优先录取。二、岗位条件1.大学本科及以上学历，年龄35周岁及以下；具有相关岗位3年（含）以上工作经历；2.数学、统计、数据信息工程、计算机、经济金融等相关专业；3.对数据敏感，熟练掌握SQL，熟悉主流数据分析工具（如：Python、R、Sass），熟悉数据挖掘方向；4.有经营思维，能够将业务与数据结合，用数据推动业务发展；5.工作认真严谨、思路清晰、善于思考、积极主动，具备良好的沟通及团队合作能力，有数据团队管理经验者优先；6.在原岗位工作表现良好，近3年考核结论均为称职（或对等结论）及以上，且至少有一次良好（或对等结论）及以上。三、工作职责1.负责开展客群的线上化经营，承担目标客群的经营指标达成与过程管理；2.负责开展客群经营策略体系的搭建，通过分层分群分级为客户提供精准的差异化产品和服务，满足客户的金融需求；3.负责策略数字化系统的需求提出以及跟进和落地，通过系统不断提升策略的效率和效果；4.负责经营策略相关的标签和报表以及指标的设计和落地以及系统化，为数字化营销提供底层的数据基础；5.负责做好客户经营风险管理，落实监管要求，防范金融风险，做好客户信息保密，开展合规销售；6.根据中心及业务室要求按时保质的完成其他相关工作。,11-12K,1-3年,本科,中国光大银行,未融资,500-999人,互联网金融
运营岗,机票运营岗,岗位职责1、管控产品运营流程，包括产品分析、政策调整、销售及售后问题反馈等；2、销售及市场数据统计、分析；3、跟踪各平台运作规则，及时调整运营思路。任职要求1、大专及以上学历，熟悉机票行业，有国际机票电商经验者优先；2、具备一定的运营思维，了解政策投放、精细化运营管理方法；3、具有良好的数据分析能力、沟通能力；4、熟练使用日常办公软件。,6-11K,1-3年,大专,北京保盛航空,不需要融资,500-999人,生活服务(O2O)
运营岗,TA运营岗,岗位职责：(1)项目成立前:配合业务部门进行系统测试。(2)项目成立:相关产品TA系统设置修改及核对。(3)项目存续期:A.项目申赎数据、分配数据的读取或录入; B.净值的录入及复核;C.进行开放日设置及清算;D.申赎数据、分配数据的复核:E.赎回金额、分配金额及业绩报酬的复核; F.配合业务需要发送相关数据; 、G.与相关部门进行工作沟通。(4)项目结束:TA系统进行份额清零及项目终止操作。(5)完成产品申赎数据整理、各类报表的初始编制、报告的撰写，档案整理等辅助性工作，及我司交办的其他工作等。(6)完成领导交办的其他工作。任职要求1、本科及以上学历，金融、投资、经济、财会、管理、信息技术等相关专业2、一年以上份额登记业务经验，基金清算经验。必须有TA系统使用经验（恒生、金证赢时胜都做这块）3、学习能力好，抗压力强,10-11K,1-3年,本科,睿服科技,不需要融资,1000-9999人,计算机软件
运营岗,渠道运营岗,"1、制定代理商销售和消耗目标和达成路径，为管理层提供策略支持；2、挖掘可复制可落地的销售运营思路，形成体系搭建，并提出短期优化策略，长期可复用的方法论及流程优化建议，对相关数据源的进行深度组合分析、深度分析；3、定期输出月/季/年度报告，通过对产品售卖问题卡点、营销模式、运营流程等维度的深入分析，挖掘可以助力业务目标达成的新模式新方向； 4、对重点/标杆项目专项分析，定义如何问题、实现价值、渠道复制方式、复制路径，推动代理商对标杆项目复制的标准化和系统性；5、组织制定合作伙伴的渠道政策，包括渠道架构、商务政策、激励政策等；6、对渠道代理商的准入认证进行管理并落地，制定渠道管理考核指标；7、制定适合公司业务发展以及具备数据库行业竞争力的培训与认证体系建设方案，包括平台、内容、培训模式等，培训课程开发与设计并收集培训素材,组织渠道代理商的相关培训赋能和渠道活动，赋能工作的过程管理、监督执行效果，出具分析报告；8、管理渠道整体运营、数据分析，跟踪渠道运营效果。9、拓展梳理渠道政策和渠道业务方法论，有效推动渠道业务发展；10、负责助销品规划、设计、发放、考评的规范性管理，评估执行效果任职要求：1、3年以上软件行业渠道销售及管理经验；2、责任心及抗压能力强，善于在压力下开展工作； 3、具备较强的市场判断及数据处理分析能力及谈判技巧；4、良好的计算机运用能力，熟练运用Word、Excel、PPT等办公软件；5、积极正向，能快速融入团队；；",15-25K,3-5年,本科,电科金仓,未融资,500-999人,计算机软件
运营岗,运营岗实习生,"高收入+短频快+好发展=理想工作，我们的成长邀请你一同参与！     ——六日  双 休，节假日休。夏：早9：30-晚18：00   午休：一个半小时 晋  升 体 制：【每三个月可以上调一次薪资及职位】没有空降兵。只从内部员工中筛选只要有能力，就会给你机会和施展平台。实习储备干部——组长——部门经理——市场经理——市场总监——分公司经理一、岗位职责：岗位职责：（1）根据领导与业务部门的需求，对业务发展状况进行分析，通过对数据的收集、统计分析与利用，编制分析报表（2）负责帮助学员了解学历提升的相关知识。（3）了解学员的需求，针对学员的需求推荐适合的学历提升方案，有效管理自己的学员，进行维护跟进。（4）负责完成部门的工作，在上级的帮助下不断总结和提升自己的能力。2. 任职要求：1.大专及以上学历，应届实习生也可以申请 2.口齿伶俐表达流畅，熟练与学员进行沟通 3.有较强的学习能力，踏实专注，愿为自我提升付诸不断努力4.热爱生活有团队合作意识，适应活跃的团队气氛.二、任职要求：1.专科及以上学历；2.专业不限；3.喜欢挑战高薪工作、对赚钱有强烈欲望,良好的执行力和团队合作精神，并勇于挑战高薪；4.执行能力强，态度认真，有亲和力、同理心。三、公司福利1.年终奖金；2.五险一金+无责底薪+完善的奖金制度；3.福利待遇：全勤奖  下午茶 节日福利多多",4-9K,在校/应届,大专,易低优,未融资,100-499人,培训/辅导机构
运营岗,运营岗-对公业务,岗位职责：1、根据银行业务特点、发展现状及客户定位，制定有针对性的系统运营策略，为系统的推广运营整体负责；2、负责系统研发及上线后的用户调研、体验优化、用户增长策略，通过策划业务营销活动、用户分层运营等方式，对客户进行分级分类，制定差异化客户营销方案，扩大用户规模，提升用户活跃度，提高系统使用效率和用户评价；3、负责重大系统建设中和建设后的日常运营工作，配置业务及营销参数，完成不同板块的运营指标，搭建标准化业务运营流程；4、调研市场需求，分析同业竞品，通过走访、调研收集用户需求，协助产品完成更新迭代；5、负责产品功能验收测试等工作，确保产品功能和性能达到预期目标；6、负责撰写产品手册、推广文案，梳理内部文档并与各分行对接，完成内部指导及答疑等工作，确保产品及业务平稳运行；7、通过对运营数据的深入分析，完成业务复盘，形成数据分析报告，为运营策略的制定和调整提供数据支持，根据分析结果优化运营策略，提升运营效果。任职要求：1、985、211本科及以上学历，具备3年及以上用户运营或银行业务运营经验；2、熟悉金融行业的产品运营推广模式和流程，有大型产品运营项目成功运营经验优先，有pmp及银行从业资格证优先，有金融及互联网复合背景优先；3、具有互联网金融公司、大型互联网公司或银行线上运营经验优先，对C端运营及流量转化有深入理解；4、能够敏锐洞察用户需求，熟悉新媒体渠道，掌握线上营销推广技巧，并进行客户行为和数据分析；5、学习能力强，能快速适应新业务、新技术，了解行业趋势，具备较好的抗压能力；6、有良好的语言及书面表达能力，擅长PPT、Excel、Visio、视频剪辑等办公软件操作，有一定的数据分析能力。,15-25K·13薪,5-10年,本科,北银金科,不需要融资,500-999人,互联网
运营岗,小初学科运营岗（语文/数学）,【岗位职责】：1、负责小初语文/数学 产品教学体系的梳理优化，教学标准的落地，不断提升教学质量，促进区域后端业绩目标达成；2、负责讲师团队建设及管理，建立讲师选拔标准及培训体系，优化团队考核、激励机制，不断提高讲师授课水平；3、优化课程和交付质量、提升教务系统化能力、完善前后端业务质检规则、监控教学质量，从而提升用户学习体验和效果；4、根据公司业绩目标，完成团队业务规划，并推动业务规划的落地，达成业务指标，对营收负责。【任职要求】：1、本科及以上学历，有K12教育行业相关经验；2、5年及以上相关学科 教学教研经验，有良好组织管理能力；强业务规划及落地能力，强目标导向为结果负责；3、较强的人员管理能力，激励团队达成目标，并及时赋能团队成员；4、具备优秀的数据分析能力、逻辑思维严谨周密；5、热爱教育行业，服务意识强，有教育初心。,18-35K·14薪,5-10年,本科,作业帮,D轮及以上,10000人以上,互联网
运营岗,京东电商运营岗,工作职责1.负责京东自营店铺健康电子类产品的整体规划、运营、活动策划，执行并跟进落地效果，及时调整运营策略，同时做总结与复盘2.维护京东采销、品牌方关系，保持良好的沟通和合作3.协调团队人员分工，推动团队达成任务目标任职资格1.全日制本科学历以上2.具有3年以上电商运营工作经验，并有一定的团队管理经验；操作类目KA品牌京东自营店铺经验、独立带店经验优先，店铺流水过亿3.高度责任心，踏实认真，学习能力强4.对数据敏感，具备较强抗压能力，良好沟通能力和团队协作能力，适应电商节奏5.了解新媒体营销，短视频和直播,15-18K,5-10年,本科,神州数码,已上市,1000-9999人,计算机软件
运营岗,司机拉新运营岗,岗位职责：1.主导司机招募的增长模式设计，并和团队同学共同推动协同方快速验证其可行性；2.可以利用数据分析，验证产品迭代和运营策略优化的价值，并持续推进产品迭代和策略调优；3.利用数据和产品赋能城市，辅助区域城市快速拿到业务结果；4.参与司机招募重点项目，利用项目管理经验帮助项目落地。任职要求：1.有网约车CP/DP、出行平台工作经验，有司机招募/骑手招募经验者优先；2.具有数据分析技能（有SQL经验）；3.具备可主导的项目管理能力，善于通过协调资源，驱动业务目标交付；4.个性乐观皮实，具备较强的沟通协调能力，具备长期主义精神，责任心强。,8-12K,3-5年,大专,,,,
运营岗,线上财富产品运营岗,1、负责线上财富产品（理财、基金）的产品策略制定，包括线上选品，产品准入准出，推动场景和活动建设实施；2、以团队考核指标为牵引，规划并落地线上经营策略，交付频道MAU、保有量等结果；3、洞察手机银行客户的投资诉求，挖掘站内营销场景，开展营销，交付结果；4、规划并落地财富客户全生命周期经营，提升用户经营效率。任职要求：1、全日制统招本科及以上学历；硬性要求！2、对金融产品和用户有较深理解，3年以上财富类业务（公募基金、银行理财等）运营经验；3、对数据敏感，可通过数据分析发现问题，并及时调整推广策略；4、结果导向，自驱力强，逻辑思维能力出色，能够基于业务目标主动思考；5、有全局观念、独立思考、积极主动、善于沟通、具备良好团队协作能力。要求相关经验：天天基金，东财，产品的营销，理财产品的区别，基金的区别，线上手段驱动用户增长。行业财富，互金，5年以上。产品构建和引入的。财富业务深入理解，用户运营经验。,19-28K,5-10年,本科,时空云科技,不需要融资,100-499人,建筑设计
运营岗,中华文明传播中心-项目运营岗,岗位职责：依据学院规定和教育培训项目运行流程，承担或参与培训项目全流程管理工作。具体包括：1.负责中心项目研发与策划工作，包括撰写师德师风建设、中华优秀传统文化进校园、区域教育改革综合项目方案、申报书和自主招生简章等；2.负责中心项目的实施与管理，包括项目调研、项目立项、项目具体实施细节落实，撰写项目需求报告、自评报告和相关档案收集整理等；3.协助进行中心日常工作，包括项目报销、培训物资管理、撰写会议纪要等。任职要求：1.硕士研究生及以上学历，教育学、心理学、社会学专业；2.具有教育培训相关工作经验优先，尤其是传统文化教育工作经历优先；3.具备常用办公软件应用能力、文字写作能力；4.较强的组织能力、沟通能力与协调能力；5.具有较强的抗压能力。,8-13K,经验不限,硕士,,,,
运营岗,人事运营岗,工作职责 ：1、负责HR日常运营管理工作，如薪酬绩效核算，社保公积金对接方，劳动关系管理，员工入、离、调、转及档案管理等，并不断优化相关制度和流程；2、员工基础信息，档案收集完善以及数据分析维护；3、人力资源日常工作风险管控，确保流程运营及服务交付合规性；4、负责当地人才项目、工作居住证、落户等相关业务；5、熟悉当地相关政策，与外部机构保持良好沟通；6、处理和解答劳动关系相关疑问，并形成SOP。任职要求1、财务、理工科等相关专业优先，2年以上HR相关工作经验，有电商行业经验优先；2、数据感强，熟练使用Office等常见办公软件；3、自驱力强，有较强的沟通与应变能力和目标管理执行能力；4、具有较好的抗压能力、快速学习能力，有良好的团队合作意识。,8-12K,1-3年,本科,万物心选,C轮,100-499人,电子商务
运营岗,生活服务-区域商家商品运营岗,职位亮点下午茶，健身瑜伽，六险一金，团队氛围好，带薪休假，扁平管理，租房补贴职位描述1、通过对抖音生活服务行业合作客户的运营，基于商家分层，为商家成长负责，不断通过策略和产品建设，提高商家动销，实现商家正向跃迁，为行业业绩负责；2、对商家分层，分商家特点、来源渠道做精细化运营，以不同权益激励等方式撬动商家加入抖音的意愿，提高商家经营能力；萃取提炼行业运营的方法论，并能有效复制推广到更多商家；3、通过扩大流量曝光、提升入驻转化、做好B端流量承接等方式提升商家增长效率，打开商家心智，保证商家体验；4、深耕商品，负责区域内商品策略制定，有效提升商品供给规模和质量，具备体系化的运营思考能力，基于对业务流量特征、供给特征的分析；5、关注市场情况，跟进竞品动态，及时提出应对策略。职位要求1、本科以上学历，5年以上互联网商品或商家运营经验，有本地生活、O2O的运营经验者优先；2、负责过商家商品、商家运营等相关运营工作，有一定策略及分析能力；3、理解商家的经营视角，能够洞察本质，挖掘机会点，并能够协调整合资源、强力推动各方落地。4、愿意深入一线，具备良好的表达和沟通协作力；具备务实求真的工作态度、有自驱力和责任心；5、熟练使用Excel数据分析、思维导图等高效办公工具。,20-40K·15薪,5-10年,本科,北京字节跳动,不需要融资,10000人以上,互联网
运营岗,用户运营岗,岗位职责：1、财富产品在商城APP拉新策略制定，结合用户特征找到突破方向，设计运营打法，落地产品工具，并推动产品更新迭代。2、商城资源拓展，可以独立拓展商城流量资源、品类合作，对商城场景下的业务转化负责。深刻理解业务诉求，能够结合不同的资源和场景，匹配适合的产品工具，实现财富产品拉新目标达成。3、主导合作方案，并牵引合作落地。负责点击、留存、转化等关键数据的监测与分析，并从数据中发现问题并提供运营策略及产品迭代层面的解决方案。任职资格：1、本科及以上学历，金融、营销相关专业优先；2、熟悉电商平台合作机制，负责过跨部门项目合作；3、拥有敏锐的用户感觉和数据思维，出色的项目管理和内外部沟通能力；4、优秀的学习能力、执行力和逻辑思维，结果驱动，有责任心和担当，有团队合作和创新意识；,35-45K·20薪,5-10年,本科,京东科技集团,不需要融资,1000-9999人,互联网
运营岗,结算运营岗,负责电商结算运营工作：上下游业务及银行间的对账、差错处理（应收、应付等），跟踪结算异常情况，可以协调相关方推进问题落地解决。1、本科及其以上学历，财务、经济信息管理类专业优先；2、1-3年财务结算相关工作经验，有电商或复杂账目结算经验优先；3、善于沟通、能独立解决问题；4、有大型互联网公司工作经验者优先。,8-9K,1-3年,本科,,,,
